plain_conf,dataset,accuracy,error,precision,recall,f1
decisiontree_splitter=best_maxdepth=100_minsamplessplit=5_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7821229050279329,0.2178770949720671,0.7761194029850746,0.6842105263157895,0.7272727272727273
decisiontree_splitter=best_maxdepth=200_minsamplessplit=5_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7821229050279329,0.2178770949720671,0.7761194029850746,0.6842105263157895,0.7272727272727273
decisiontree_splitter=best_maxdepth=200_minsamplessplit=10_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.8,0.7368421052631579,0.7671232876712328
decisiontree_splitter=best_maxdepth=200_minsamplessplit=15_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7821229050279329,0.2178770949720671,0.7681159420289855,0.6973684210526315,0.7310344827586206
decisiontree_splitter=best_maxdepth=200_minsamplessplit=10_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.8,0.7368421052631579,0.7671232876712328
decisiontree_splitter=best_maxdepth=220_minsamplessplit=10_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.8,0.7368421052631579,0.7671232876712328
decisiontree_splitter=random_maxdepth=220_minsamplessplit=10_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7653631284916201,0.23463687150837986,0.765625,0.6447368421052632,0.7
decisiontree_splitter=best_maxdepth=220_minsamplessplit=10_criterion=gini,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7932960893854749,0.2067039106145251,0.8,0.6842105263157895,0.7375886524822695
decisiontree_splitter=best_maxdepth=220_minsamplessplit=10_criterion=entropy,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.8,0.7368421052631579,0.7671232876712328
svm_kernel=linear_degree=4_gamma=scale,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7988826815642458,0.2011173184357542,0.7941176470588235,0.7105263157894737,0.7499999999999999
